Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]
2/25/2011 12:41:51,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,4 a 6 años,No conozco,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype",Masculino,Linux,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,4 a 6 años,,Más de 6 años,No,Menos de 1 año,No conozco,No conozco
2/25/2011 12:42:21,31 - 40 años,Lima,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1 año,4 a 6 años,No conozco,Más de 6 años,No conozco,No conozco,4 a 6 años,4 a 6 años,1 año o menos,No conozco,,De 8501 a 9500,Maestría,Trabajo como dependiente,,Masculino,Windows,Documentación en la web,No conozco,No conozco,Más de 6 años,,4 a 6 años,No,No conozco,No conozco,No conozco
2/25/2011 12:44:19,17 - 23 años,Lima,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,No conozco,1 a 3 años,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, extJS",Masculino,Windows,"Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,Sí,Menos de 1 año,No conozco,No conozco
2/25/2011 12:46:27,24 - 30 años,Ayacucho,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,4 a 6 años,Menos de 1 año,Más de 6 años,1 año o menos,1 año o menos,No conozco,1 año o menos,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Otro,Documentación en la web,Menos de 1 año,Menos de 1 año,4 a 6 años,,4 a 6 años,Sí,4 a 6 años,Menos de 1 año,1 a 3 años
2/25/2011 12:47:30,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,1 año o menos,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,jQuery,Masculino,Linux,"Seminarios web, Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Menos de 1 año,,1 a 3 años,Sí,1 a 3 años,No conozco,No conozco
2/25/2011 12:49:49,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,No conozco,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 3501 a 4500,Graduado de universidad,Trabajo como dependiente,,Masculino,Windows,"Documentación en la web, En la universidad o instituto, Cursos en línea",No conozco,No conozco,1 a 3 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/25/2011 12:52:02,17 - 23 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,4 a 6 años,,De 3501 a 4500,Graduado de instituto,Trabajo como independiente,"jQuery, jQuery UI, Ext JS",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,1 a 3 años,,4 a 6 años,Sí,No conozco,Menos de 1 año,No conozco
2/25/2011 12:58:40,31 - 40 años,Lima,No conozco,No conozco,No conozco,4 a 6 años,Menos de 1 año,,1 a 3 años,1 a 3 años,No conozco,Más de 6 años,1 a 3 años,Más de 6 años,1 año o menos,No conozco,No conozco,Más de 6 años,,De 3501 a 4500,Graduado de universidad,Trabajo como dependiente,jQuery,Masculino,Linux,Documentación en la web,Más de 6 años,1 a 3 años,4 a 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/25/2011 12:59:59,24 - 30 años,Lima,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1 año,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,dojo,Masculino,Linux,Documentación en la web,No conozco,No conozco,Más de 6 años,,Más de 6 años,No,No conozco,No conozco,No conozco
2/25/2011 13:11:05,24 - 30 años,Lima,1 a 3 años,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como independiente,jQuery,Femenino,Windows,Documentación en la web,Menos de 1 año,No conozco,Menos de 1 año,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/25/2011 13:48:27,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,Más de 6 años,,1 a 3 años,Más de 6 años,No conozco,Más de 6 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,4 a 6 años,,De 3501 a 4500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Linux,Documentación en la web,Menos de 1 año,No conozco,1 a 3 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/25/2011 13:56:22,17 - 23 años,Lambayeque,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,1 a 3 años,1 año o menos,1 a 3 años,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Documentación en la web, Lista de correos",No conozco,No conozco,1 a 3 años,,4 a 6 años,Sí,1 a 3 años,No conozco,No conozco
2/25/2011 14:02:31,24 - 30 años,Lima,No conozco,No conozco,No conozco,No conozco,4 a 6 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,4 a 6 años,4 a 6 años,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Menos de 1 año,,4 a 6 años,No,1 a 3 años,Menos de 1 año,No conozco
2/25/2011 14:04:50,17 - 23 años,Lambayeque,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,No conozco,1 año o menos,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,jQuery,Masculino,Linux,"Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,1 año o menos,Sí,Menos de 1 año,No conozco,Menos de 1 año
2/25/2011 14:06:46,24 - 30 años,Lima,Menos de 1 año,1 a 3 años,No conozco,Menos de 1 año,4 a 6 años,,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,1 año o menos,No conozco,Más de 6 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, MooTools",Masculino,Linux,"Documentación en la web, Cursos en línea",Más de 6 años,No conozco,Más de 6 años,,Más de 6 años,No,No conozco,No conozco,No conozco
2/25/2011 14:11:55,24 - 30 años,Lima,No conozco,Menos de 1 año,No conozco,1 a 3 años,No conozco,,Menos de 1 año,4 a 6 años,Más de 6 años,Más de 6 años,Más de 6 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,,De 3501 a 4500,Graduado de universidad,Trabajo como independiente,MooTools,Femenino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",4 a 6 años,Menos de 1 año,Más de 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
2/25/2011 14:34:22,24 - 30 años,Lima,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,4 a 6 años,1 año o menos,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,1 año o menos,,De 5501 a 6500,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery, jQuery UI, YUI",Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas",Menos de 1 año,No conozco,1 a 3 años,,Más de 6 años,Sí,4 a 6 años,Menos de 1 año,No conozco
2/25/2011 15:12:33,24 - 30 años,Lima,Menos de 1 año,Menos de 1 año,No conozco,4 a 6 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,4 a 6 años,1 año o menos,1 a 3 años,1 año o menos,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery, Prototype, script.aculo.us",Masculino,Windows,"Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,Menos de 1 año,1 a 3 años,,1 a 3 años,Sí,Menos de 1 año,Menos de 1 año,No conozco
2/25/2011 15:40:45,24 - 30 años,Amazonas,No conozco,No conozco,No conozco,Menos de 1 año,4 a 6 años,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, Prototype",Masculino,Linux,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,4 a 6 años,No,1 a 3 años,No conozco,No conozco
2/25/2011 17:27:01,24 - 30 años,Callao,Menos de 1 año,No conozco,No conozco,Más de 6 años,Menos de 1 año,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,1 a 3 años,Más de 6 años,1 a 3 años,No conozco,No conozco,Más de 6 años,,De 4501 a 5500,En universidad o instituto,Trabajo como dependiente e independiente,"dojo, jQuery, YUI",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Más de 6 años,Menos de 1 año,Menos de 1 año,,1 a 3 años,Sí,No conozco,No conozco,No conozco
2/25/2011 17:28:30,24 - 30 años,Ica,No conozco,No conozco,No conozco,4 a 6 años,No conozco,,No conozco,1 a 3 años,4 a 6 años,Más de 6 años,1 a 3 años,4 a 6 años,1 a 3 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,NOne,Masculino,Linux,"Seminarios web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",4 a 6 años,Menos de 1 año,No conozco,,Más de 6 años,No,1 a 3 años,No conozco,No conozco
2/25/2011 17:33:41,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,No conozco,No conozco,Menos de 1 año,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,jQuery,Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,No conozco,,1 a 3 años,No,No conozco,No conozco,No conozco
2/25/2011 17:46:41,24 - 30 años,La Libertad,1 a 3 años,No conozco,No conozco,1 a 3 años,Más de 6 años,,Más de 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Maestría,Trabajo como independiente,"jQuery, jQuery UI, YUI, extjs",Masculino,Linux,Documentación en la web,1 a 3 años,No conozco,Más de 6 años,,Más de 6 años,Sí,4 a 6 años,4 a 6 años,No conozco
2/25/2011 18:02:07,17 - 23 años,Cusco,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,No trabajo,"jQuery, Prototype",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Cursos en línea",No conozco,No conozco,Menos de 1 año,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/25/2011 18:10:48,31 - 40 años,Lima,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 año o menos,1 año o menos,1 año o menos,1 año o menos,1 año o menos,1 año o menos,,Menos de 1500 soles,Graduado de instituto,Trabajo como independiente,jQuery UI,Masculino,Linux,En grupos de amigos o compañeros de trabajo,Menos de 1 año,Menos de 1 año,Menos de 1 año,,1 año o menos,Sí,Menos de 1 año,Menos de 1 año,Menos de 1 año
2/25/2011 18:13:51,24 - 30 años,Cusco,4 a 6 años,Menos de 1 año,No conozco,4 a 6 años,4 a 6 años,,4 a 6 años,1 a 3 años,Menos de 1 año,Más de 6 años,4 a 6 años,1 año o menos,4 a 6 años,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,jQuery,Masculino,Windows,Documentación en la web,Menos de 1 año,No conozco,4 a 6 años,,Más de 6 años,Sí,1 a 3 años,Menos de 1 año,Menos de 1 año
2/25/2011 18:22:19,24 - 30 años,La Libertad,1 a 3 años,No conozco,No conozco,Más de 6 años,Más de 6 años,,Más de 6 años,Más de 6 años,4 a 6 años,Más de 6 años,Más de 6 años,1 a 3 años,1 a 3 años,1 año o menos,No conozco,Más de 6 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Más de 6 años,Más de 6 años,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,Menos de 1 año
2/25/2011 18:28:30,17 - 23 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,1 año o menos,1 año o menos,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"jQuery, Prototype, Extjs, zapatec",Masculino,Linux,Documentación en la web,Menos de 1 año,No conozco,4 a 6 años,,1 año o menos,Sí,No conozco,No conozco,No conozco
2/25/2011 18:39:36,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Más de 6 años,,Más de 6 años,Más de 6 años,1 a 3 años,Más de 6 años,Más de 6 años,No conozco,1 a 3 años,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Maestría,No trabajo,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Google",Menos de 1 año,No conozco,Más de 6 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
2/25/2011 18:44:37,31 - 40 años,Cusco,4 a 6 años,Menos de 1 año,No conozco,4 a 6 años,4 a 6 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,Más de 6 años,1 año o menos,1 año o menos,Más de 6 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Windows,Cursos en línea,4 a 6 años,1 a 3 años,4 a 6 años,,1 año o menos,Sí,4 a 6 años,4 a 6 años,1 a 3 años
2/25/2011 18:48:18,31 - 40 años,Arequipa,1 a 3 años,Menos de 1 año,No conozco,Más de 6 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,1 año o menos,Más de 6 años,No conozco,No conozco,4 a 6 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,Documentación en la web,Menos de 1 año,No conozco,Más de 6 años,,Más de 6 años,No,Menos de 1 año,Menos de 1 año,No conozco
2/25/2011 19:06:11,31 - 40 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,No conozco,Menos de 1 año,Menos de 1 año,1 año o menos,No conozco,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,jQuery,Femenino,Windows,"Seminarios web, Documentación en la web, Cursos en línea",Menos de 1 año,No conozco,Menos de 1 año,,No conozco,Sí,No conozco,No conozco,No conozco
2/25/2011 19:15:43,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Más de 6 años,,Menos de 1 año,Más de 6 años,Menos de 1 año,Más de 6 años,No conozco,1 año o menos,No conozco,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools, Prototype",Masculino,Linux,"Documentación en la web, listas de correo, blogs",No conozco,No conozco,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,Menos de 1 año,No conozco
