"Marca temporal","¿En qué región vives actualmente?","¿Qué edad tienes?","¿Cuál es tu sexo?","¿Cuál es tu grado de instrucción?","¿Cuántos años de experiencia tienes en Desarrollo Web?","¿Cuál es tu situación laboral actual como desarrollador web? ","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","¿Estás en planilla?","¿Emites recibos por honorarios u otro comprobante de pago?","En tu trabajo actual ¿Tu función principal es desarrollo web?","¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?","Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:","Tu función principal en el desarrollo web es:","¿Qué sistema operativo usas principalmente como entorno de desarrollo?","¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?","¿Cuantos años de experiencia tienes con...? [.NET]","¿Cuantos años de experiencia tienes con...? [Go]","¿Cuantos años de experiencia tienes con...? [Java]","¿Cuantos años de experiencia tienes con...? [Node.js]","¿Cuantos años de experiencia tienes con...? [PHP]","¿Cuantos años de experiencia tienes con...? [Python]","¿Cuantos años de experiencia tienes con...? [Ruby]","¿Cuantos años de experiencia tienes con...? [Rust]","¿Qué frameworks backend cononces?","¿Qué frameworks backend utilizas?","¿Qué frameworks de JavaScript conoces?","¿Qué frameworks de JavaScript utilizas?","¿Con qué pre/post procesadores has trabajado?","¿Con qué herramientas de automatizacion has trabajado?","¿Con qué bases de datos relacionales has trabajado?","¿Con qué bases de datos no relacionales has trabajado?","¿Con qué plataformas Cloud has trabajado?","¿A través de qué medios aprendes sobre desarrollo web?","¿Para qué sistemas operativos móviles has desarrollado aplicaciones?","Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?"
"2019/01/17 11:47:11 p. m. GMT-5","Lima","17 - 23 años","Hombre","Estudiante de universidad","De 1 a 3 años","Trabajo como dependiente","","","No","","Sí","Menos de 1500 soles","Ha aumentado","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage","No conozco","No conozco","Menos de 1 año","Menos de 1 año","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Zend Framework","Laravel (PHP);CodeIgniter (PHP);Zend Framework","jQuery;jQuery UI;React;Vue.js","jQuery;jQuery UI","ninguno","ninguno","MySQL;PostgreSQL","MongoDB","Amazon Web Services;IBM Cloud","Documentación en la web;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior)","",""
"2019/01/17 11:59:12 p. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como independiente","","","","Sí","Sí","De 4501 a 5500 soles","Ha disminuido","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory","No conozco","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","No conozco","Menos de 1 año","No conozco","Menos de 1 año","Django (Python);Play Framework (Java);Spring Boot (Java);Webpy (Python)","Django (Python);Spring Boot (Java);Flask (Python);Webpy (Python)","React;D3.js;Dojo","React","SASS;LESS;Pug;PostCSS","WebPack","MySQL;PostgreSQL","Redis","Amazon Web Services","Documentación en la web;youtube y redtube","","Progressive Web Apps"
"2019/01/18 12:19:16 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente e independiente","No","Sí","","","Sí","De 1501 a 2500 soles","Es igual","Frontend","Mac","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","No conozco","No conozco","Menos de 1 año","No conozco","De 1 a 3 años","No conozco","No conozco","No conozco","Django (Python);Ruby on Rails;Cuba (Ruby)","Django (Python);Ruby on Rails;Cuba (Ruby)","jQuery;jQuery UI;AngularJS;Framework7","jQuery;jQuery UI;AngularJS;Framework7","SASS;LESS;Stylus","Gulp","MySQL","Apache Cassandra","Amazon Web Services","Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups","",""
"2019/01/18 1:00:50 a. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de instituto","De 1 a 3 años","Trabajo como dependiente e independiente","No","Sí","","","Sí","De 1501 a 2500 soles","Ha aumentado","Fullstack","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory","No conozco","No conozco","No conozco","No conozco","De 1 a 3 años","No conozco","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP)","Laravel (PHP);CodeIgniter (PHP)","jQuery;jQuery UI;Vue.js","jQuery;jQuery UI;Vue.js","SASS","WebPack","MySQL;Microsoft SQL Server;PostgreSQL","","Amazon Web Services;Google Cloud Platform;Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Comunidades locales de desarrollo","",""
"2019/01/18 1:08:12 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 1501 a 2500 soles","Es igual","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de memoria / Profiles / Memory","De 1 a 3 años","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","No conozco","Laravel (PHP);Symfony (PHP);Express","net core, entity, signalr","jQuery;D3.js","AngularJS","LESS;PostCSS","Gulp","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB","Microsoft Azure;DigitalOcean","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo","Webapps móviles (híbridas para cualquier plataforma)","Phonegap;Progressive Web Apps"
"2019/01/18 5:15:32 a. m. GMT-5","Lima","17 - 23 años","Transmasculino","Estudiantes de instituto","De 1 a 3 años","No trabajo actualmente","","","","","","","Ha disminuido","Frontend","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources","No conozco","No conozco","Menos de 1 año","De 1 a 3 años","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","Menos de 1 año","Laravel (PHP);Django (Python);Play Framework (Java);Spring Boot (Java);Flask (Python)","Laravel (PHP);Django (Python);Flask (Python)","jQuery;jQuery UI;AngularJS;Backbone.js;React;D3.js;Vue.js","jQuery;AngularJS;React;Vue.js","SASS;Pug;CoffeeScript;PostCSS","Gulp;WebPack","MySQL","MongoDB","Una nube privada (implementación a medida)","Documentación en la web;Cursos en línea de plataformas de pago;Cursos de educación continua (fuera de planes de estudio superior)","",""
"2019/01/18 6:46:08 a. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","Mayor a 10 años","Trabajo como dependiente","","","No","","Sí","De 5501 a más","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de almacenamiento / Resources / Storage","No conozco","No conozco","No conozco","Menos de 1 año","No conozco","Más de 6 años","Menos de 1 año","No conozco","Django (Python);Ruby on Rails;Flask (Python);Webpy (Python);Bottle (Python);Pipes","Ruby on Rails","jQuery;jQuery UI;React","React","SASS;LESS;CoffeeScript","Grunt;Gulp;WebPack","MySQL;PostgreSQL","Redis","Amazon Web Services;Google Cloud Platform;Digital Ocean","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas","Webapps móviles (híbridas para cualquier plataforma)",""
"2019/01/18 7:21:05 a. m. GMT-5","Lima","17 - 23 años","Hombre","Estudiante de universidad","De 4 a 6 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 3501 a 4500 soles","Ha disminuido","Frontend","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance","Menos de 1 año","No conozco","De 1 a 3 años","De 4 a 6 años","De 4 a 6 años","No conozco","No conozco","Menos de 1 año","Laravel (PHP)","Laravel (PHP)","jQuery;jQuery UI;React;Vue.js","jQuery;jQuery UI;React;Vue.js","SASS;Stylus","Grunt;Gulp;WebPack","MySQL;Microsoft SQL Server;PostgreSQL","Redis","Amazon Web Services","Documentación en la web","Android;Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework;Apache Cordova;Phonegap;Reac Native"
"2019/01/18 8:05:26 a. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","De 6 a 10 años","Trabajo como dependiente e independiente","Sí","No","","","Sí","De 4501 a 5500 soles","Ha aumentado","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger","De 4 a 6 años","Menos de 1 año","De 4 a 6 años","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","No conozco","Play Framework (Java);Spring Boot (Java)","Play Framework (Java);Spring Boot (Java)","jQuery;AngularJS;React;Dojo;Vue.js;Sencha","jQuery;AngularJS;React;Dojo;Vue.js;Sencha","SASS","WebPack","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database;Informix ","","Amazon Web Services","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma)","Progressive Web Apps"
"2019/01/18 8:29:01 a. m. GMT-5","Lima","41 - 50 años","Hombre","Graduado de instituto","Mayor a 10 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 5501 a más","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Accesibilidad","No conozco","No conozco","No conozco","Menos de 1 año","Más de 6 años","No conozco","Menos de 1 año","No conozco","Laravel (PHP);CodeIgniter (PHP);Ruby on Rails;Sinatra (Ruby);Slime php","CodeIgniter (PHP)","jQuery;jQuery UI;Vue.js","jQuery;Vue.js","SASS","Gulp","MySQL","MongoDB;CouchDB","Amazon Web Services;Digitalicean, vultr","Documentación en la web;Cursos en línea de plataformas de pago;Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma)","Apache Cordova;Phonegap;Progressive Web Apps"
"2019/01/18 9:01:35 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente e independiente","No","Sí","","","No","De 2501 a 3500 soles","Ha aumentado","Frontend","Microsoft Windows","Consola;Depurador de JavaScript / Debugger;Canvas","De 1 a 3 años","Menos de 1 año","Menos de 1 año","De 1 a 3 años","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","Laravel (PHP);Django (Python)","","jQuery;jQuery UI;AngularJS;React;Vue.js","Vue.js","SASS;Stylus","WebPack","MySQL;Microsoft SQL Server;Maria DB","MongoDB;Firebase Realtime DB","Microsoft Azure;IBM Cloud","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo","Android;Webapps móviles (híbridas para cualquier plataforma)","Progressive Web Apps"
"2019/01/18 9:20:49 a. m. GMT-5","Arequipa","31 - 40 años","Hombre","Graduado de instituto","Mayor a 10 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 3501 a 4500 soles","Es igual","Fullstack","Mac","Inspector / Elements / DOM Explorer;Consola","No conozco","No conozco","De 1 a 3 años","De 1 a 3 años","Más de 6 años","No conozco","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP)","Laravel (PHP);Symfony (PHP)","jQuery;jQuery UI;AngularJS;React;Ember.js;D3.js;Vue.js","jQuery;jQuery UI;AngularJS;React","SASS;LESS","Grunt;Gulp;WebPack","MySQL;PostgreSQL","MongoDB;Redis","Amazon Web Services;Google Cloud Platform;Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo","Android;Webapps móviles (híbridas para cualquier plataforma);iOS","Ionic Framework;Apache Cordova;Phonegap;Reac Native"
"2019/01/18 9:34:04 a. m. GMT-5","Lima","24 - 30 años","Hombre","Graduado de universidad","De 4 a 6 años","Trabajo como dependiente e independiente","No","Sí","","","Sí","De 1501 a 2500 soles","Ha aumentado","Backend","GNU/Linux","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage","No conozco","No conozco","Menos de 1 año","No conozco","De 4 a 6 años","De 1 a 3 años","No conozco","No conozco","Laravel (PHP);Django (Python)","Laravel (PHP);Django (Python);Symfony (PHP)","jQuery;AngularJS;Vue.js","jQuery;jQuery UI;AngularJS;Vue.js","SASS","","MySQL;PostgreSQL","Redis","Amazon Web Services;Una nube privada (implementación a medida)","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo","Android","Ionic Framework"
"2019/01/18 9:37:49 a. m. GMT-5","Lima","31 - 40 años","Hombre","Graduado de universidad","De 1 a 3 años","Trabajo como dependiente e independiente","Sí","Sí","","","Sí","De 2501 a 3500 soles","Es igual","Backend","Microsoft Windows","Inspector / Elements / DOM Explorer","No conozco","No conozco","De 1 a 3 años","Menos de 1 año","De 1 a 3 años","Menos de 1 año","No conozco","No conozco","Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP);Spring Boot (Java)","ninguno","jQuery;jQuery UI;AngularJS;Backbone.js;React;Vue.js","jQuery;jQuery UI;AngularJS","sublime","ninguno","MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database","ninguno","Amazon Web Services","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;bajo tutoriales ""robados""","Android;Webapps móviles (híbridas para cualquier plataforma)",""
"2019/01/18 10:20:48 a. m. GMT-5","Lima","17 - 23 años","Hombre","Graduado de instituto","De 1 a 3 años","Trabajo como dependiente e independiente","No","Sí","","","Sí","De 1501 a 2500 soles","Ha aumentado","Fullstack","Microsoft Windows","Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger","Menos de 1 año","No conozco","De 1 a 3 años","De 4 a 6 años","De 1 a 3 años","De 1 a 3 años","Menos de 1 año","No conozco","Laravel (PHP);Django (Python);Spring Boot (Java);Flask (Python);nodejs (Express) ","Django (Python);Spring Boot (Java);Flask (Python);nodejs (Express) ","jQuery;jQuery UI;AngularJS;React;Dojo;Vue.js","jQuery","SASS;Pug","Grunt;Gulp","MySQL;Microsoft SQL Server;PostgreSQL","MongoDB","Digital Ocean","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Comunidades locales de desarrollo;Seminarios Web / Webinars","Android;Outsystems","Outsystems"
"2019/01/18 10:59:00 a. m. GMT-5","Lima","24 - 30 años","Mujer","Estudiante de universidad","De 1 a 3 años","Trabajo como dependiente","","","Sí","","No","De 2501 a 3500 soles","Ha aumentado","Frontend","Microsoft Windows","Consola;Depurador de JavaScript / Debugger;Canvas;Borrador;Accesibilidad","No conozco","No conozco","No conozco","De 1 a 3 años","No conozco","No conozco","No conozco","No conozco","","","jQuery;jQuery UI;React;Vue.js","Vue.js","SASS;Pug","Gulp;WebPack","","Firebase","Microsoft Azure","Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars","",""
