#,"Región en la que vives actualmente","¿Cuántos años de experiencia tienes en Desarrollo Web?","Grado de instrucción",Edad,Género,"Situación laboral","Si eres trabajador dependiente, ¿estás en planilla?","Si eres trabajador independiente, ¿emites recibos por honorarios u otro comprobante de pago?","En tu trabajo actual, ¿tu función principal es desarrollo web?","¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?","Si comparas tu sueldo bruto actual respecto de tu sueldo de hace doce meses atrás, dirías que:","¿Qué sistema operativo usas principalmente para desarrollo web?",Other,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode","Inspector de memoria / Profiles / Memory",.NET,Go,Java,"node.js / io.js",PHP,Python,Ruby,"Play Framework (Java)","CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)","Zend Framework (PHP)","Bottle (Python)","Django (Python)","Flask (Python)","webpy (Python)","Cuba (Ruby)","Ruby on Rails","Sinatra (Ruby)",AngularJS,backbone.js,D3.js,dojo,ember.js,jQuery,"jQuery UI",React,Zepto.js,Other,CoffeeScript,Jade,LESS,PostCSS,SASS,Stylus,Other,Broccoli,Grunt,Gulp,Other,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,Other,CouchDB,"Apache Cassandra",MongoDB,Redis,Other,"Amazon Web Services","Google Cloud Platform","Microsoft Azure","Una nube privada (implementación a medida)",Other,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",Other,Android,iOS,"Webapps móviles (web móvil o app para Android/iOS)",Other,"Si desarrollas web/apps móviles ¿Qué frameworks has utilizado para desarrollar web/apps móviles?",Other,"Start Date (UTC)","Submit Date (UTC)","Network ID"
d77d1971c8dc347f77771ab2ba10d7be,Lambayeque,"Menos de un año","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,,0,"De 1501 a 2500","Ha aumentado",Windows,,,Consola,"Editor de estilos / Sources / Resources",,,,,,"Menos de 1 año","No conozco","Menos de 1 año","No conozco","No conozco","Menos de 1 año","No conozco",,,,,"Zend Framework (PHP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Microsoft SQL Server",,,,,,,,,,,,"Microsoft Azure",,,"En la universidad o instituto",,"Libros, revistas y otras publicaciones impresas","Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,,,,Phonegap,,"2016-04-21 03:41:08","2016-04-21 03:45:21",8e178268fa
26f5b5b28125cedf4a5a8c70c4d81901,Lima,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,1,"De 5501 a más","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",,,"Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,,"Inspector de memoria / Profiles / Memory","No conozco","1 a 3 años","4 a 6 años","No conozco","No conozco","Más de 6 años","4 a 6 años","Play Framework (Java)",,,,,"Bottle (Python)","Django (Python)","Flask (Python)",,,"Ruby on Rails","Sinatra (Ruby)",AngularJS,,D3.js,,,jQuery,,React,,,CoffeeScript,,LESS,,SASS,,,,Grunt,Gulp,,,,,PostgreSQL,,,,MongoDB,,,"Amazon Web Services",,,,,"En la universidad o instituto",,"Libros, revistas y otras publicaciones impresas","Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,"En grupos de amigos o compañeros de trabajo",,,Android,iOS,,,,Ninguno,"2016-04-21 03:40:06","2016-04-21 03:46:26",39dd1f4b2b
a57931295e2015283b69cb394eccb849,Cajamarca,"Menos de un año","Estudiante en universidad","24 - 30 años",Masculino,"Trabajo como independiente",Si,Si,0,"Menos de 1500 nuevos soles","Ha disminuido",Windows,,,,,,,,,"Inspector de memoria / Profiles / Memory","Menos de 1 año","No conozco","Menos de 1 año","No conozco","No conozco","No conozco","No conozco","Play Framework (Java)",,,,,,,,,,,,,,,,,jQuery,,,,,,,,PostCSS,,,,,Grunt,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,,,,"Apache Cassandra",,,,"Amazon Web Services","Google Cloud Platform","Microsoft Azure","Una nube privada (implementación a medida)",,,,,,"Seminarios web",,,,,,Android,,,,Cordova,,"2016-04-21 03:43:53","2016-04-21 03:47:31",4300735010
751d78c95399d3e459d07e95a01345e0,Lima,"Uno a tres años","Graduado de universidad","17 - 23 años",Masculino,"Trabajo como dependiente",Si,No,1,"De 2501 a 3500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,,,,"Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","No conozco","1 a 3 años","No conozco",,,,,,,"Django (Python)","Flask (Python)",,,,,AngularJS,backbone.js,,,,jQuery,"jQuery UI",,,,,,,,SASS,,,,,,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,,,,MongoDB,Redis,,,,,"Una nube privada (implementación a medida)",,"En la universidad o instituto",,,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,"Comunidades locales de desarrolladores",,,,,,,,"2016-04-21 03:43:29","2016-04-21 03:49:14",0cd95d2884
1d44ce47601b014527ca669e5ef3c9be,Lima,"Más de seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,0,"De 2501 a 3500","Es igual",Windows,,,,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","1 a 3 años","Menos de 1 año","1 a 3 años","Menos de 1 año","Menos de 1 año","Play Framework (Java)","CodeIgniter (PHP)",,,"Zend Framework (PHP)",,,"Flask (Python)",,,,,AngularJS,backbone.js,D3.js,dojo,ember.js,jQuery,"jQuery UI",,,,,,LESS,,,Stylus,,,Grunt,,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,,,"Amazon Web Services","Google Cloud Platform","Microsoft Azure","Una nube privada (implementación a medida)",,,,"Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-21 03:44:32","2016-04-21 03:51:08",21dd764a98
ee17da1899604c352325f6a9c789be43,Lima,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",No,No,1,"De 5501 a más","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,,"Depurador de JavaScript / Debugger",,,,,"No conozco","No conozco","1 a 3 años","No conozco","No conozco","No conozco","1 a 3 años",,,,,,,,,,,"Ruby on Rails","Sinatra (Ruby)",,,,,,,,React,,,CoffeeScript,,,,SASS,,,,,,,,,,PostgreSQL,,,,MongoDB,Redis,,"Amazon Web Services",,,,,,"Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,"Comunidades locales de desarrolladores",,,,,,,,"2016-04-21 03:45:57","2016-04-21 03:51:37",ad65ffdaa5
98f70875d3402f5a1b76dc6e2f940664,Ica,"Uno a tres años","Graduado de universidad","17 - 23 años",Masculino,"Trabajo como independiente",,Si,1,"De 1501 a 2500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",,,,,,,,"1 a 3 años","No conozco","1 a 3 años","No conozco","1 a 3 años","1 a 3 años","1 a 3 años",,,"Laravel (PHP)",,,,,,,,,,,,,,,jQuery,"jQuery UI",,,,CoffeeScript,Jade,LESS,,SASS,Stylus,,,Grunt,,,"Microsoft SQL Server","MySQL (y derivados)",,,,,,,,,,,,,,"En la universidad o instituto","Cursos de educación continua (fuera de los planes de estudio superiores)","Libros, revistas y otras publicaciones impresas",,,,,"En grupos de amigos o compañeros de trabajo",,,,,,,,,"2016-04-21 03:49:18","2016-04-21 03:54:17",ced67ec7f4
d552611f8a3e1e74aef6f90b1327bfa3,Lima,"Uno a tres años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,,1,"De 1501 a 2500","Ha aumentado",Windows,,"Inspector / Elements / DOM Explorer",,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,"Inspector de almacenamiento / Resources / Storage",,,"No conozco","No conozco","1 a 3 años","No conozco","Menos de 1 año","No conozco","No conozco","Play Framework (Java)",,"Laravel (PHP)",,,,,,,,,,AngularJS,,,,,jQuery,,,,,,Jade,,,SASS,Stylus,,,,Gulp,,,"MySQL (y derivados)","Oracle Database",PostgreSQL,,,,,,,,"Google Cloud Platform","Microsoft Azure",,,"En la universidad o instituto",,,"Documentación en la web","Seminarios web",,,"En grupos de amigos o compañeros de trabajo",,,Android,,,,,,"2016-04-21 03:55:32","2016-04-21 04:01:06",327dc83c6b
ee5922d14a2eccd108b139c751f19202,Callao,"Uno a tres años","Estudiante en universidad","24 - 30 años",Masculino,"Trabajo como dependiente",Si,Si,1,"De 2501 a 3500","Ha aumentado",Windows,,,Consola,,"Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance",,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","4 a 6 años","Menos de 1 año","Menos de 1 año",,"CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)",,,"Django (Python)",,,,"Ruby on Rails","Sinatra (Ruby)",AngularJS,backbone.js,,,ember.js,jQuery,"jQuery UI",React,,,,,LESS,,,,,,Grunt,,,"Microsoft SQL Server","MySQL (y derivados)",,PostgreSQL,SQLITE,,,,,,"Amazon Web Services",,,,,,"Cursos de educación continua (fuera de los planes de estudio superiores)",,"Documentación en la web",,,,"En grupos de amigos o compañeros de trabajo",,,Android,,,,Cordova,,"2016-04-21 03:41:48","2016-04-21 04:03:29",f90bf78ca9
bb54dc1114c24d15638569384ec33094,Lima,"Cuatro a seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,Si,0,"De 2501 a 3500","Es igual",Mac,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger",,"Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","4 a 6 años","1 a 3 años","1 a 3 años","Menos de 1 año","4 a 6 años",,"CodeIgniter (PHP)","Laravel (PHP)",,,,,,,,"Ruby on Rails","Sinatra (Ruby)",AngularJS,,,,,jQuery,"jQuery UI",React,,,CoffeeScript,,LESS,,SASS,,,,Grunt,Gulp,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,,,"Amazon Web Services",,,,,,,,"Documentación en la web",,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo",,,Android,iOS,"Webapps móviles (web móvil o app para Android/iOS)",,"Ionic Framework",,"2016-04-21 03:58:40","2016-04-21 04:04:28",5cec7fd3c1
3ea8d8b61beb2bfc33c2b1e92237413d,Lima,"Cuatro a seis años","Graduado de universidad","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,No,1,"De 1501 a 2500","Ha aumentado",Linux,,,,,,,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","4 a 6 años","Menos de 1 año","Menos de 1 año",,"CodeIgniter (PHP)","Laravel (PHP)","Symfony2 (PHP)","Zend Framework (PHP)",,,,,,,,AngularJS,,,,,jQuery,,,,,,,,,SASS,,,,Grunt,Gulp,,"Microsoft SQL Server","MySQL (y derivados)",,,,,,MongoDB,,,,,,"Una nube privada (implementación a medida)",,,,,"Documentación en la web",,,,,,,Android,,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-21 04:00:58","2016-04-21 04:04:58",72f4acc063
78b1a9dcd2cd496b81d815833371a72a,Lambayeque,"Menos de un año","Estudiante en universidad","17 - 23 años",Masculino,"No trabajo actualmente",Si,No,1,"Menos de 1500 nuevos soles","Es igual",Windows,,,,"Editor de estilos / Sources / Resources",,,,,,"No conozco","No conozco","1 a 3 años","No conozco","1 a 3 años","No conozco","No conozco","Play Framework (Java)",,"Laravel (PHP)",,"Zend Framework (PHP)",,,,,,,,AngularJS,,,,,jQuery,,,,,,,LESS,,SASS,,,Broccoli,,,,"Microsoft SQL Server","MySQL (y derivados)","Oracle Database",PostgreSQL,,,,MongoDB,,,,"Google Cloud Platform",,"Una nube privada (implementación a medida)",,"En la universidad o instituto",,,,,,,,,,Android,,,,Cordova,,"2016-04-21 04:09:05","2016-04-21 04:12:30",76509dd15c
f6ec63edfce18e990de85cb6f02a052b,Lima,"Cuatro a seis años",Escolar,"17 - 23 años",Masculino,"Trabajo como dependiente e independiente",No,Si,1,"De 3501 a 4500","Ha aumentado",Mac,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources","Depurador de JavaScript / Debugger","Rendimiento / Timeline / Performance","Inspector de almacenamiento / Resources / Storage","Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"No conozco","No conozco","No conozco","1 a 3 años","Menos de 1 año","Menos de 1 año","Menos de 1 año",,,"Laravel (PHP)","Symfony2 (PHP)",,,"Django (Python)",,,,,,AngularJS,,D3.js,,ember.js,jQuery,"jQuery UI",React,,,,Jade,LESS,,SASS,Stylus,,,,Gulp,,,"MySQL (y derivados)",,,,,,MongoDB,Redis,,"Amazon Web Services","Google Cloud Platform",,"Una nube privada (implementación a medida)",,,,,"Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,,iOS,"Webapps móviles (web móvil o app para Android/iOS)",,Cordova,,"2016-04-21 04:12:28","2016-04-21 04:17:51",a16d1d3864
b9a60be1e09a2dbda0f1c10c244ed30b,Lima,"Uno a tres años","Graduado de instituto","24 - 30 años",Masculino,"Trabajo como dependiente e independiente",Si,No,0,"De 1501 a 2500","Ha aumentado",Linux,,"Inspector / Elements / DOM Explorer",Consola,"Editor de estilos / Sources / Resources",,,,"Vista de diseño adaptable / Device mode / Emulation / Responsive design mode",,"No conozco","Menos de 1 año","Menos de 1 año","Menos de 1 año","Menos de 1 año","1 a 3 años","Menos de 1 año",,,,,,"Bottle (Python)","Django (Python)","Flask (Python)","webpy (Python)",,,,AngularJS,backbone.js,,dojo,,,"jQuery UI",,,,,,LESS,,,,,,Grunt,,,,"MySQL (y derivados)",,PostgreSQL,,,,MongoDB,,,"Amazon Web Services",,,"Una nube privada (implementación a medida)",,,,"Libros, revistas y otras publicaciones impresas","Documentación en la web","Seminarios web","Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago","En grupos de amigos o compañeros de trabajo","Comunidades locales de desarrolladores",,Android,,,,Cordova,,"2016-04-21 04:06:20","2016-04-21 04:19:31",efe4395ae2
