Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],"¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados, como Aptana)]",¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Género,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [BlueGriffon (NUEVO)],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [node.js (NUEVO)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Dart (NUEVO)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],¿Haces desarrollos para plataformas móviles? ¿Para cuáles? (NUEVO)
3/25/2014 22:44:37,17 - 23 años,Lambayeque,No conozco,No conozco,No conozco,1 a 3 años,4 a 6 años,,1 a 3 años,4 a 6 años,No conozco,4 a 6 años,,,,,,,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"backbone.js, jQuery, jQuery UI",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,4 a 6 años,,,Sí,No conozco,No conozco,No conozco,No conozco,,,"Android, Firefox OS, Webapps móviles (en general)"
3/25/2014 22:49:19,17 - 23 años,Lima,1 a 3 años,Menos de 1 año,Menos de 1 año,Más de 6 años,4 a 6 años,,1 a 3 años,4 a 6 años,4 a 6 años,4 a 6 años,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"AngularJS (NUEVO), backbone.js, backbone.marionette.js (NUEVO), jQuery, jQuery UI",Femenino,Linux,"Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",4 a 6 años,4 a 6 años,4 a 6 años,,,No,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,,,Android
3/25/2014 22:56:13,24 - 30 años,Arequipa,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,,,,,,,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Cursos en línea",Menos de 1 año,Menos de 1 año,4 a 6 años,,,Sí,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,,,Android
3/25/2014 23:13:35,24 - 30 años,Junín,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,1 a 3 años,Más de 6 años,No conozco,Más de 6 años,,,,,,,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,jQuery,Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",Más de 6 años,No conozco,4 a 6 años,,,Sí,No conozco,No conozco,No conozco,No conozco,,,
3/25/2014 23:20:48,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,"backbone.js, jQuery, Prototype",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto",1 a 3 años,No conozco,Menos de 1 año,,,No,No conozco,No conozco,Menos de 1 año,No conozco,,,Android
3/25/2014 23:21:56,17 - 23 años,--Seleccione--,No conozco,No conozco,Menos de 1 año,1 a 3 años,1 a 3 años,,Menos de 1 año,Menos de 1 año,No conozco,4 a 6 años,,,,,,,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype",Masculino,Windows,"Seminarios web, En la universidad o instituto, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,Menos de 1 año,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,,Android
3/25/2014 23:27:57,17 - 23 años,Ucayali,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,,1 a 3 años,1 a 3 años,No conozco,Menos de 1 año,,,,,,,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,Documentación en la web,Menos de 1 año,No conozco,1 a 3 años,,,Sí,No conozco,No conozco,No conozco,No conozco,,,
3/25/2014 23:28:41,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,"AngularJS (NUEVO), backbone.js, dojo, ember.js (NUEVO), jQuery, jQuery UI, MooTools, Prototype",Masculino,Linux,ninguno,Menos de 1 año,Menos de 1 año,4 a 6 años,,,Sí,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,,,"Android, Webapps móviles (en general)"
3/25/2014 23:33:49,17 - 23 años,Arequipa,Menos de 1 año,No conozco,No conozco,4 a 6 años,Menos de 1 año,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,,,,,,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, YUI",Masculino,Linux,"Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,1 a 3 años,1 a 3 años,,,Sí,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,,Webapps móviles (en general)
3/25/2014 23:38:34,24 - 30 años,Piura,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Más de 6 años,,4 a 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,,,,,,,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente,"backbone.js, jQuery, jQuery UI, knockout, sammy, simrou",Masculino,Windows,"Documentación en la web, Cursos en línea",Menos de 1 año,No conozco,Más de 6 años,,,Sí,No conozco,No conozco,No conozco,Menos de 1 año,,,"Android, Webapps móviles (en general)"
3/25/2014 23:41:09,24 - 30 años,Arequipa,Menos de 1 año,No conozco,No conozco,4 a 6 años,4 a 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,,,,,,,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, knockout, kendo,Raphael,d3,etc.",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea",Menos de 1 año,Menos de 1 año,4 a 6 años,,,Sí,1 a 3 años,No conozco,No conozco,No conozco,,,Webapps móviles (en general)
3/25/2014 23:56:27,24 - 30 años,Áncash,No conozco,No conozco,No conozco,No conozco,No conozco,,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,,,,,,,,De 1501 a 2500,Escolar,Trabajo como independiente,"AngularJS (NUEVO), jQuery, jQuery UI",Masculino,Linux,"Seminarios web, Documentación en la web, Cursos en línea",No conozco,No conozco,Menos de 1 año,,,Sí,1 a 3 años,No conozco,No conozco,No conozco,,,Android
3/25/2014 23:58:12,24 - 30 años,La Libertad,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,1 a 3 años,4 a 6 años,No conozco,4 a 6 años,,,,,,,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"AngularJS (NUEVO), backbone.js, jQuery, jQuery UI",Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,1 a 3 años,,,Sí,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,,
3/25/2014 23:58:39,17 - 23 años,--Seleccione--,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,,,,,,,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente e independiente,"AngularJS (NUEVO), backbone.js, jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,4 a 6 años,,,Sí,1 a 3 años,1 a 3 años,No conozco,Menos de 1 año,,,Webapps móviles (en general)
3/25/2014 23:58:56,17 - 23 años,Arequipa,No conozco,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,,,,,,,De 2501 a 3500,En universidad o instituto,Trabajo como independiente,"AngularJS (NUEVO), backbone.js, jQuery, jQuery UI, MooTools",Masculino,Mac,"Documentación en la web, Cursos en línea",No conozco,No conozco,Menos de 1 año,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,
3/25/2014 23:59:00,17 - 23 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,1 a 3 años,No conozco,1 a 3 años,,,,,,,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente e independiente,"AngularJS (NUEVO), jQuery",Masculino,Windows,"Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,No conozco,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,"Android, Webapps móviles (en general)"
3/25/2014 23:59:06,24 - 30 años,--Seleccione--,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Más de 6 años,,1 a 3 años,Más de 6 años,1 a 3 años,Más de 6 años,,,,,,,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Mac,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",Menos de 1 año,Menos de 1 año,Más de 6 años,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,iOS
3/25/2014 23:59:55,17 - 23 años,--Seleccione--,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,,,,,,,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"AngularJS (NUEVO), backbone.js, backbone.marionette.js (NUEVO), backbone.js + Thorax (NUEVO), jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",Menos de 1 año,Menos de 1 año,1 a 3 años,,,Sí,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,,Webapps móviles (en general)
3/26/2014 0:00:40,24 - 30 años,Lima,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,1 a 3 años,4 a 6 años,4 a 6 años,4 a 6 años,,,,,,,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente,"AngularJS (NUEVO), dojo, jQuery, jQuery UI, MooTools, YUI",Femenino,Mac,"Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",1 a 3 años,No conozco,1 a 3 años,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,"Android, iOS, Webapps móviles (en general), Windows Phone"
3/26/2014 0:03:16,17 - 23 años,Áncash,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,4 a 6 años,1 a 3 años,4 a 6 años,,,,,,,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"AngularJS (NUEVO), jQuery, jQuery UI",Masculino,Linux,"Seminarios web, Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO), ChimboteDev.com, Devux.pe",No conozco,No conozco,4 a 6 años,,,Sí,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,,"Android, Webapps móviles (en general)"
3/26/2014 0:03:24,24 - 30 años,--Seleccione--,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,,,,,,,,De 5501 a 6500,Graduado de universidad,Trabajo como dependiente e independiente,"AngularJS (NUEVO), backbone.js, backbone.marionette.js (NUEVO), dojo, ember.js (NUEVO), jQuery, jQuery UI, MooTools, Prototype",Masculino,Mac,Documentación en la web,Menos de 1 año,Menos de 1 año,4 a 6 años,,,Sí,1 a 3 años,1 a 3 años,Menos de 1 año,Menos de 1 año,,,"Android, Blackberry, iOS, Webapps móviles (en general)"
3/26/2014 0:04:19,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,,,,,,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente e independiente,"AngularJS (NUEVO), jQuery, jQuery UI",Femenino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,"Android, Firefox OS, iOS, Webapps móviles (en general)"
3/26/2014 0:04:32,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,4 a 6 años,4 a 6 años,4 a 6 años,,,,,,,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"backbone.js, jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,1 a 3 años,,,Sí,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,,Android
3/26/2014 0:04:38,17 - 23 años,Áncash,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,,,,,,,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,"AngularJS (NUEVO), backbone.js, dojo, jQuery, jQuery UI, Prototype",Masculino,Windows,Cursos en línea,No conozco,No conozco,Menos de 1 año,,,No,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,,Android
3/26/2014 0:04:42,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,,,,,,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"AngularJS (NUEVO), backbone.js, jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",1 a 3 años,No conozco,1 a 3 años,,,Sí,1 a 3 años,Menos de 1 año,No conozco,Menos de 1 año,,,"Android, iOS"
3/26/2014 0:05:04,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,,,,,,,,De 2501 a 3500,Graduado de instituto,Trabajo como dependiente,"AngularJS (NUEVO), jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Cursos en línea",Menos de 1 año,Menos de 1 año,4 a 6 años,,,Sí,No conozco,No conozco,Menos de 1 año,No conozco,,,
3/26/2014 0:05:20,24 - 30 años,La Libertad,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,4 a 6 años,Menos de 1 año,Más de 6 años,,,,,,,,De 1501 a 2500,Maestría,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, Comunidades locales de desarrolladores (NUEVO)",Menos de 1 año,No conozco,1 a 3 años,,,No,Menos de 1 año,No conozco,No conozco,No conozco,,,
3/26/2014 0:05:37,24 - 30 años,Callao,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1 año,4 a 6 años,No conozco,4 a 6 años,,,,,,,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Cursos en línea",No conozco,No conozco,Menos de 1 año,,,Sí,No conozco,No conozco,No conozco,No conozco,,,
3/26/2014 0:06:02,24 - 30 años,Lima,1 a 3 años,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,,,,,,,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Linux,"Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,1 a 3 años,No conozco,,,Sí,No conozco,No conozco,No conozco,No conozco,,,
3/26/2014 0:06:07,24 - 30 años,--Seleccione--,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,4 a 6 años,Menos de 1 año,4 a 6 años,,,,,,,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,"AngularJS (NUEVO), backbone.js, backbone.marionette.js (NUEVO), jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)",1 a 3 años,No conozco,1 a 3 años,,,Sí,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,,,"Android, Blackberry, Webapps móviles (en general)"
