¿En qué región vives actualmente?,¿Qué edad tienes?,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual como desarrollador web? ,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",Tu función principal en el desarrollo web es:,¿Qué sistema operativo usas principalmente como entorno de desarrollo?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Qué editor utilizas regularmente?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Cuantos años de experiencia tienes con...? [Rust],¿Cuantos años de experiencia tienes con...? [Lisp],¿Cuantos años de experiencia tienes con...? [Scala],¿Cuantos años de experiencia tienes con...? [Swift],¿Cuantos años de experiencia tienes con...? [Kotlin],¿Cuantos años de experiencia tienes con...? [JavaScript],¿Cuantos años de experiencia tienes con...? [TypeScript],¿Cuantos años de experiencia tienes con...? [Flow],¿Qué frameworks backend cononces?,¿Qué frameworks backend utilizas?,¿Qué frameworks de JavaScript conoces?,¿Qué frameworks de JavaScript utilizas?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?,¿Sueles utilizar test en tus proyectos?,¿Contribuyes con algún proyecto open source o software libre?,¿Haz asistido a algún evento o meetup local?,Indica el nombre de la comunidad o del meetup al que asististe,En los últimos 12 meses ¿Has asistido ha alguna conferencia internacional fuera del Perú?
Lima,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,De 1 a 3 años,No conozco,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,"Ruby on Rails, Sinatra (Ruby), Cuba (Ruby)","Ruby on Rails, Sinatra (Ruby), Cuba (Ruby)","jQuery, jQuery UI, Backbone.js, React, Zepto.js","jQuery, React","SASS, CoffeeScript, PostCSS","Grunt, Gulp, WebPack","MySQL, PostgreSQL","MongoDB, Redis","Amazon Web Services, Heroku","Documentación en la web, Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),"Apache Cordova, Phonegap, Xamarin",A veces,"Sí, regularmente (al menos una vez al mes)","Sí, de vez en cuando",Frontend Perú,No
Lima,31 - 40 años,Mujer,Graduado de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Ha disminuido,Frontend,GNU/Linux,Consola,"Visual Studio Code, Atom",No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Django (Python),,React,React,,,MySQL,Firebase,Amazon Web Services,"Documentación en la web, En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo",,,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando","Javascript, hackspace, python, ",No
Lima,41 - 50 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,Menos de 1500 soles,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, Vim",No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Ruby on Rails, Sinatra (Ruby), Express (Node.js)","Ruby on Rails, Express (Node.js)",React,React,"SASS, Pug, Slim, erb, ejs",,"MySQL, PostgreSQL",MongoDB,Heroku,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, bootcamp",,,A veces,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes","Frontend Peru, TechTalks, Ruby Peru",No
Lima,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,Menos de 1500 soles,Es igual,Fullstack,Microsoft Windows,"Consola, Depurador de JavaScript / Debugger",Visual Studio Code,De 1 a 3 años,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,"Spring Boot (Java), asp net core",asp net core,"jQuery, AngularJS, React, Vue.js",React,SASS,WebPack,"MySQL, Microsoft SQL Server, PostgreSQL","MongoDB, Redis, Apache Cassandra, CouchDB",Heroku,"Documentación en la web, Libros, revistas y otras publicaciones impresas",Android,,A veces,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Mozilla Perú,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,No trabajo actualmente,,,,,,,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, WebStorm",No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), Django (Python), Ruby on Rails, Symfony (PHP), Spring Boot (Java), Express (Node.js), Hapi (Node.js)",Express (Node.js),"jQuery, AngularJS, Backbone.js, React, Vue.js","jQuery, React, Vue.js","SASS, Stylus, Pug, PostCSS","Gulp, WebPack",MySQL,MongoDB,Heroku,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups",,,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Graduado de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Ha disminuido,Frontend,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Editor de estilos / Sources / Resources",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Django (Python), Express (Node.js), Firebase",Django (Python),"jQuery, AngularJS, React",React,SASS,WebPack,MySQL,,Heroku,"Documentación en la web, Cursos de educación continua (fuera de planes de estudio superior)",Webapps móviles (híbridas para cualquier plataforma),React Native,No,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Manuel ,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory","Sublime, Vim",Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,Más de 6 años,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,Más de 6 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Express (Node.js)","Laravel (PHP), CodeIgniter (PHP), Express (Node.js)","jQuery, jQuery UI, AngularJS, React, D3.js, Vue.js","jQuery, React, Vue.js","SASS, LESS, Stylus, Pug, CoffeeScript, PostCSS","Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL","MongoDB, Redis","Amazon Web Services, Google Cloud Platform, IBM Cloud","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),"Ionic Framework, Apache Cordova, Phonegap, React Native",Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",,No
Lima,31 - 40 años,Hombre,Estudiantes de instituto,De 1 a 3 años,Trabajo como independiente,,,,No,Sí,Menos de 1500 soles,Es igual,Backend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Editor de estilos / Sources / Resources","Visual Studio Code, Sublime, Notepad++, PhpStorm",No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), Django (Python), Express (Node.js)","Laravel (PHP), Express (Node.js)","jQuery, jQuery UI, React, Vue.js","jQuery, jQuery UI, React, Vue.js",SASS,WebPack,MySQL,MongoDB,,Documentación en la web,Android,React Native,Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Estudiantes de instituto,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,Fullstack,Microsoft Windows,Consola,Visual Studio Code,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP),Laravel (PHP),"jQuery, React, Vue.js","jQuery, Vue.js",SASS,,"MySQL, Microsoft SQL Server, Oracle Database",,,"Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, En la universidad o instituto, Cursos de educación continua (fuera de planes de estudio superior)",,,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Ayacucho,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,No,De 1501 a 2500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Consola, Depurador de JavaScript / Debugger","Visual Studio Code, IntelliJ",No conozco,No conozco,De 1 a 3 años,Menos de 1 año,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,"Django (Python), Flask (Python)","Laravel (PHP), Django (Python)",React,"jQuery, React",SASS,WebPack,"MySQL, PostgreSQL","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida)","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","React Native, Flutter",A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
La Libertad,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 4 a 6 años,De 1 a 3 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Spring Boot (Java), Express (Node.js)","Django (Python), Ruby on Rails, Express (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, Vue.js","React, Vue.js",SASS,WebPack,"MySQL, PostgreSQL",MongoDB,"Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma)","React Native, Progressive Web Apps",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Full Day Isaca,No
Arequipa,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,No,,No,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,No conozco,No conozco,De 1 a 3 años,De 4 a 6 años,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,"Django (Python), Flask (Python), Express (Node.js)","Django (Python), Flask (Python), Express (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, D3.js, Vue.js, nuxtjs","Vue.js, nuxtjs",SASS,WebPack,"MySQL, PostgreSQL","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida)","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas",,,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",limajs,Sí
