"Timestamp","Edad","Departamento en el que vives actualmente","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP]","Qué lenguaje servidor prefieres","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados, como Aptana)]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos]","¿Cuál es tu ingreso mensual bruto en soles?","Grado de instrucción","Situación laboral","¿Qué frameworks de JavaScript conoces?","Sexo","¿Qué sistema operativo usas principalmente para desarrollo web?","¿A través de qué medios aprendes sobre desarrollo web?","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript]","¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [BlueGriffon (NUEVO)]","En tu trabajo actual, ¿tu función principal es desarrollo web?","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [node.js (NUEVO)]","¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Dart (NUEVO)]","¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos]"
2/23/2012 13:26:48,"17 - 23 años","Junín","4 a 6 años","No conozco","No conozco","4 a 6 años","Menos de 1 año",,"1 a 3 años","1 a 3 años","Menos de 1 año","1 a 3 años","4 a 6 años","4 a 6 años","4 a 6 años","No conozco","No conozco","4 a 6 años",,"De 2501 a 3500","En universidad o instituto","Trabajo como dependiente e independiente","dojo, jQuery, Prototype","Masculino","Windows","Documentación en la web, Cursos en línea","Menos de 1 año","Menos de 1 año","1 a 3 años",,"No conozco","Sí","No conozco","No conozco","1 a 3 años","Menos de 1 año",,"1 a 3 años"
2/23/2012 13:29:12,"24 - 30 años","Lima","No conozco","No conozco","No conozco","No conozco","1 a 3 años",,"1 a 3 años","4 a 6 años","4 a 6 años","Más de 6 años","Más de 6 años","1 año o menos","1 año o menos","1 año o menos","1 año o menos","No conozco",,"De 2501 a 3500","En universidad o instituto","Trabajo como dependiente e independiente","backbone.js (NUEVO), jQuery, jQuery UI, MooTools, Prototype, script.aculo.us","Masculino","Windows","Documentación en la web, Comunidades locales de desarrolladores (NUEVO)","Menos de 1 año","No conozco","1 a 3 años",,"1 año o menos","Sí","Menos de 1 año","1 a 3 años","Menos de 1 año","Menos de 1 año",,"Más de 6 años"
2/23/2012 13:30:41,"24 - 30 años","La Libertad","1 a 3 años","No conozco","No conozco","Menos de 1 año","Más de 6 años",,"Más de 6 años","Más de 6 años","1 a 3 años","Más de 6 años","No conozco","4 a 6 años","1 a 3 años","1 año o menos","No conozco","4 a 6 años",,"De 5501 a 6500","Graduado de universidad","Trabajo como independiente","jQuery, jQuery UI, MooTools","Masculino","Linux","Documentación en la web","No conozco","No conozco","Más de 6 años",,"No conozco","No","4 a 6 años","1 a 3 años","No conozco","No conozco",,"Más de 6 años"
2/23/2012 13:31:09,"24 - 30 años","--Seleccione--","1 a 3 años","No conozco","No conozco","Menos de 1 año","Menos de 1 año",,"1 a 3 años","Menos de 1 año","Menos de 1 año","4 a 6 años","1 año o menos","1 año o menos","1 a 3 años","No conozco","No conozco","1 año o menos",,"De 1501 a 2500","Graduado de instituto","Trabajo como dependiente","jQuery","Masculino","Windows","Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo","Menos de 1 año","No conozco","1 a 3 años",,"No conozco","No","No conozco","No conozco","No conozco","No conozco",,"1 a 3 años"
2/23/2012 13:33:13,"24 - 30 años","La Libertad","4 a 6 años","No conozco","No conozco","Menos de 1 año","Menos de 1 año",,"1 a 3 años","1 a 3 años","Menos de 1 año","4 a 6 años","1 año o menos","1 año o menos","Más de 6 años","1 año o menos","1 año o menos","1 año o menos",,"De 4501 a 5500","Graduado de universidad","Trabajo como dependiente","jQuery, jQuery UI","Masculino","Windows","Documentación en la web","No conozco","No conozco","4 a 6 años",,"1 año o menos","Sí","No conozco","No conozco","Menos de 1 año","No conozco",,"1 año o menos"
2/23/2012 13:35:14,"31 - 40 años","Lima","No conozco","No conozco","No conozco","4 a 6 años","4 a 6 años",,"Menos de 1 año","Más de 6 años","No conozco","Más de 6 años","1 a 3 años","No conozco","No conozco","No conozco","No conozco","No conozco",,"De 1501 a 2500","Graduado de instituto","Trabajo como independiente","jQuery, jQuery UI","Masculino","Windows","Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO), mejorando.la","No conozco","1 a 3 años","1 a 3 años",,"No conozco","Sí","1 a 3 años","No conozco","No conozco","Menos de 1 año",,"Más de 6 años"
2/23/2012 13:38:18,"17 - 23 años","Lima","No conozco","No conozco","No conozco","1 a 3 años","No conozco",,"1 a 3 años","1 a 3 años","No conozco","1 a 3 años","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco",,"De 2501 a 3500","Graduado de instituto","Trabajo como dependiente","jQuery, jQuery UI, ember.js","Masculino","Mac","Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","No conozco","1 a 3 años","No conozco","Menos de 1 año",,"1 a 3 años"
2/23/2012 13:40:41,"31 - 40 años","Lima","No conozco","No conozco","No conozco","1 a 3 años","4 a 6 años",,"4 a 6 años","Más de 6 años","1 a 3 años","Más de 6 años","1 a 3 años","1 a 3 años","1 año o menos","No conozco","No conozco","1 año o menos",,"De 3501 a 4500","Graduado de instituto","Trabajo como dependiente e independiente","backbone.js (NUEVO), dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us","Masculino","Windows","Seminarios web, Documentación en la web, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","No conozco","No conozco","Más de 6 años",,"No conozco","Sí","1 a 3 años","Menos de 1 año","No conozco","Menos de 1 año",,"Más de 6 años"
2/23/2012 13:41:39,"24 - 30 años","Lima","No conozco","No conozco","No conozco","No conozco","1 a 3 años",,"1 a 3 años","1 a 3 años","No conozco","1 a 3 años","1 año o menos","No conozco","No conozco","No conozco","No conozco","No conozco",,"De 1501 a 2500","En universidad o instituto","Trabajo como dependiente","jQuery","Masculino","Linux","Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año",,"1 a 3 años"
2/23/2012 13:44:04,"17 - 23 años","Lima","No conozco","No conozco","No conozco","No conozco","No conozco",,"Menos de 1 año","1 a 3 años","No conozco","1 a 3 años","1 año o menos","1 año o menos","No conozco","1 año o menos","No conozco","No conozco",,"Menos de 1500 soles","En universidad o instituto","Trabajo como dependiente","jQuery, jQuery UI","Masculino","Linux","Documentación en la web, Libros, revistas y otras publicaciones impresas","No conozco","No conozco","Menos de 1 año",,"No conozco","Sí","Menos de 1 año","No conozco","No conozco","Menos de 1 año",,"1 año o menos"
2/23/2012 13:50:40,"24 - 30 años","Pasco","No conozco","No conozco","No conozco","1 a 3 años","Más de 6 años",,"4 a 6 años","Más de 6 años","1 a 3 años","Más de 6 años","1 a 3 años","1 a 3 años","1 a 3 años","1 año o menos","1 año o menos","Más de 6 años",,"De 1501 a 2500","Graduado de universidad","Trabajo como dependiente","jQuery","Masculino","Windows","Libros, revistas y otras publicaciones impresas","Menos de 1 año","1 a 3 años","Más de 6 años",,"1 año o menos","Sí","1 a 3 años","Menos de 1 año","1 a 3 años","No conozco",,"Más de 6 años"
2/23/2012 13:52:07,"24 - 30 años","Lima","No conozco","No conozco","No conozco","1 a 3 años","1 a 3 años",,"1 a 3 años","1 a 3 años","Menos de 1 año","1 a 3 años","No conozco","1 a 3 años","No conozco","1 año o menos","No conozco","1 a 3 años",,"De 1501 a 2500","Graduado de universidad","Trabajo como dependiente","jQuery, jQuery UI, MooTools, Prototype, script.aculo.us","Masculino","Linux","Seminarios web, Documentación en la web, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año",,"1 a 3 años"
2/23/2012 14:12:43,"17 - 23 años","Huánuco","No conozco","No conozco","No conozco","1 a 3 años","1 a 3 años",,"Menos de 1 año","Menos de 1 año","1 a 3 años","4 a 6 años","1 a 3 años","1 año o menos","No conozco","No conozco","No conozco","1 a 3 años",,"Menos de 1500 soles","Maestría","Trabajo como independiente","jQuery","Masculino","Windows","Documentación en la web, Cursos en línea","1 a 3 años","No conozco","1 a 3 años",,"No conozco","Sí","No conozco","No conozco","No conozco","No conozco",,"4 a 6 años"
2/23/2012 14:16:47,"31 - 40 años","Lima","No conozco","No conozco","No conozco","No conozco","1 a 3 años",,"1 a 3 años","1 a 3 años","No conozco","1 a 3 años","1 a 3 años","1 a 3 años","1 a 3 años","1 año o menos","No conozco","1 año o menos",,"De 1501 a 2500","Graduado de instituto","Trabajo como independiente","jQuery, jQuery UI","Masculino","Linux","Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","1 a 3 años","No conozco","No conozco","No conozco",,"1 a 3 años"
2/23/2012 14:22:53,"31 - 40 años","Lima","No conozco","4 a 6 años","No conozco","No conozco","Más de 6 años",,"4 a 6 años","4 a 6 años","No conozco","4 a 6 años","No conozco","No conozco","No conozco","No conozco","No conozco","No conozco",,"Más de 10500","Maestría","Trabajo como dependiente e independiente","backbone.js (NUEVO), jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI","Masculino","Linux","Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, Comunidades locales de desarrolladores (NUEVO)","Más de 6 años","No conozco","1 a 3 años",,"No conozco","Sí","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año",,"No conozco"
2/23/2012 14:39:17,"24 - 30 años","--Seleccione--","Menos de 1 año","Menos de 1 año","Menos de 1 año","1 a 3 años","1 a 3 años",,"1 a 3 años","4 a 6 años","1 a 3 años","4 a 6 años","1 a 3 años","4 a 6 años","1 a 3 años","No conozco","No conozco","1 a 3 años",,"De 4501 a 5500","Graduado de universidad","Trabajo como dependiente e independiente","dojo, jQuery, jQuery UI, Prototype","Masculino","Linux","Documentación en la web, En la universidad o instituto, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","1 a 3 años","Menos de 1 año","4 a 6 años",,"No conozco","No","No conozco","No conozco","Menos de 1 año","No conozco",,"4 a 6 años"
2/23/2012 15:28:53,"31 - 40 años","Lima","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año",,"Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año","1 año o menos","1 año o menos","1 a 3 años","No conozco","No conozco","1 año o menos",,"Menos de 1500 soles","Graduado de universidad","Trabajo como independiente","jQuery, jQuery UI","Masculino","Windows","Documentación en la web, En grupos de amigos o compañeros de trabajo","Menos de 1 año","Menos de 1 año","No conozco",,"No conozco","Sí","Menos de 1 año","Menos de 1 año","No conozco","No conozco",,"1 año o menos"
2/23/2012 15:30:18,"24 - 30 años","Lima","No conozco","No conozco","No conozco","No conozco","1 a 3 años",,"1 a 3 años","1 a 3 años","No conozco","1 a 3 años","No conozco","1 a 3 años","No conozco","No conozco","No conozco","No conozco",,"De 2501 a 3500","Escolar","Trabajo como dependiente e independiente","jQuery","Masculino","Linux","Seminarios web, Documentación en la web","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","1 a 3 años","No conozco","No conozco","No conozco",,"No conozco"
2/23/2012 15:34:50,"24 - 30 años","Lima","Menos de 1 año","No conozco","No conozco","1 a 3 años","Menos de 1 año",,"1 a 3 años","1 a 3 años","No conozco","1 a 3 años","No conozco","4 a 6 años","Más de 6 años","No conozco","No conozco","4 a 6 años",,"De 1501 a 2500","Graduado de universidad","Trabajo como dependiente","jQuery, jQuery UI, gwt","Masculino","Linux","Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo","No conozco","No conozco","1 a 3 años",,"No conozco","Sí","Menos de 1 año","No conozco","No conozco","No conozco",,"Más de 6 años"
2/23/2012 15:54:09,"24 - 30 años","Lima","Menos de 1 año","Menos de 1 año","Menos de 1 año","1 a 3 años","1 a 3 años",,"1 a 3 años","4 a 6 años","4 a 6 años","4 a 6 años","4 a 6 años","1 año o menos","1 año o menos","1 año o menos","1 año o menos","1 a 3 años",,"Menos de 1500 soles","Graduado de instituto","Trabajo como dependiente e independiente","jQuery, jQuery UI, MooTools, Prototype, YUI","Masculino","Windows","Seminarios web, Documentación en la web, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","Menos de 1 año","Menos de 1 año","1 a 3 años",,"1 año o menos","Sí","Menos de 1 año","Menos de 1 año","No conozco","No conozco",,"4 a 6 años"
2/23/2012 15:56:07,"24 - 30 años","Pasco","No conozco","No conozco","No conozco","Menos de 1 año","1 a 3 años",,"No conozco","Menos de 1 año","1 a 3 años","1 a 3 años","1 a 3 años","No conozco","No conozco","No conozco","No conozco","1 año o menos",,"Menos de 1500 soles","Graduado de universidad","Trabajo como dependiente e independiente","jQuery, jQuery UI","Masculino","Windows","Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)","No conozco","No conozco","Menos de 1 año",,"No conozco","Sí","Menos de 1 año","Menos de 1 año","No conozco","Menos de 1 año",,"4 a 6 años"
2/23/2012 16:08:46,"24 - 30 años","Pasco","No conozco","No conozco","No conozco","No conozco","Menos de 1 año",,"No conozco","Menos de 1 año","No conozco","Menos de 1 año","1 año o menos","No conozco","No conozco","No conozco","No conozco","No conozco",,"Menos de 1500 soles","Graduado de universidad","Trabajo como independiente","jQuery","Masculino","Windows","Documentación en la web, Cursos en línea","No conozco","No conozco","No conozco",,"No conozco","No","No conozco","No conozco","No conozco","No conozco",,"1 año o menos"
2/23/2012 16:10:26,"17 - 23 años","Lima","Menos de 1 año","No conozco","No conozco","Menos de 1 año","Menos de 1 año",,"No conozco","No conozco","Menos de 1 año","Menos de 1 año","1 a 3 años","1 año o menos","1 año o menos","No conozco","No conozco","1 a 3 años",,"De 5501 a 6500","Graduado de universidad","Trabajo como dependiente","jQuery","Masculino","Windows","Seminarios web, Documentación en la web, En la universidad o instituto, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo","No conozco","No conozco","Menos de 1 año",,"No conozco","Sí","No conozco","No conozco","No conozco","No conozco",,"1 año o menos"
2/23/2012 21:28:35,"17 - 23 años","Arequipa","No conozco","Menos de 1 año","No conozco","Menos de 1 año","No conozco",,"Menos de 1 año","No conozco","Menos de 1 año","Menos de 1 año","1 año o menos","1 año o menos","4 a 6 años","No conozco","No conozco","1 año o menos",,"Menos de 1500 soles","En universidad o instituto","Trabajo como independiente","jQuery","Masculino","Windows","Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo","No conozco","No conozco","Menos de 1 año",,"No conozco","No","No conozco","No conozco","No conozco","No conozco",,"Más de 6 años"
2/23/2012 21:28:55,"31 - 40 años","Arequipa","No conozco","Más de 6 años","No conozco","Más de 6 años","Más de 6 años",,"Más de 6 años","Más de 6 años","Más de 6 años","Más de 6 años","Más de 6 años","Más de 6 años","Más de 6 años","No conozco","No conozco","Más de 6 años",,"De 3501 a 4500","Graduado de universidad","Trabajo como dependiente e independiente","jQuery, jQuery UI","Masculino","Linux","Documentación en la web, Cursos en línea","Más de 6 años","No conozco","Más de 6 años",,"No conozco","Sí","4 a 6 años","4 a 6 años","Más de 6 años","No conozco",,"Más de 6 años"
2/23/2012 21:37:35,"31 - 40 años","Piura","Menos de 1 año","No conozco","No conozco","Menos de 1 año","Más de 6 años",,"1 a 3 años","1 a 3 años","No conozco","4 a 6 años","1 año o menos","1 a 3 años","1 año o menos","No conozco","No conozco","1 a 3 años",,"De 5501 a 6500","Graduado de universidad","Trabajo como dependiente e independiente","jQuery, jQuery UI","Masculino","Linux","Documentación en la web","No conozco","No conozco","4 a 6 años",,"No conozco","No","No conozco","No conozco","No conozco","No conozco",,"No conozco"
