Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],"¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados, como Aptana)]",¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [BlueGriffon (NUEVO)],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [node.js (NUEVO)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Dart (NUEVO)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos]
41369.0372106481,17 - 23 años,Lambayeque,No conozco,No conozco,No conozco,1 a 3 años,4 a 6 años,,1 a 3 años,4 a 6 años,No conozco,4 a 6 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,4 a 6 años,,No conozco,Sí,Menos de 1 año,No conozco,No conozco,No conozco,,4 a 6 años
41369.0383449074,31 - 40 años,Lima,No conozco,No conozco,No conozco,No conozco,1 a 3 años,,Menos de 1 año,4 a 6 años,No conozco,4 a 6 años,No conozco,1 a 3 años,No conozco,No conozco,No conozco,No conozco,,De 4501 a 5500,Escolar,Trabajo como dependiente e independiente,"jQuery, Ember.js",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Menos de 1 año,,No conozco,Sí,1 a 3 años,No conozco,No conozco,No conozco,,1 a 3 años
41369.0442939815,17 - 23 años,Lambayeque,Menos de 1 año,1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,1 año o menos,1 año o menos,1 año o menos,1 año o menos,1 año o menos,1 año o menos,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente,"jQuery, jQuery UI, Prototype",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,4 a 6 años,,No conozco,Sí,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,4 a 6 años
41369.0498726852,17 - 23 años,Lima,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"backbone.js (NUEVO), dojo, jQuery, jQuery UI, Prototype, vert.x",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)",1 a 3 años,No conozco,1 a 3 años,,No conozco,Sí,1 a 3 años,1 a 3 años,No conozco,Menos de 1 año,,4 a 6 años
41369.0538078704,24 - 30 años,Cusco,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,Más de 6 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,No conozco,No conozco,4 a 6 años,,De 5501 a 6500,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Windows,Documentación en la web,4 a 6 años,4 a 6 años,4 a 6 años,,No conozco,Sí,1 a 3 años,1 a 3 años,4 a 6 años,Menos de 1 año,,4 a 6 años
41369.0590046296,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,1 año o menos,Más de 6 años,1 a 3 años,1 año o menos,1 a 3 años,Más de 6 años,,De 1501 a 2500,Graduado de instituto,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Linux,"Documentación en la web, Videos en la web",No conozco,No conozco,4 a 6 años,,1 año o menos,Sí,1 a 3 años,Menos de 1 año,No conozco,Menos de 1 año,,Más de 6 años
41369.0598263889,17 - 23 años,Apurímac,1 a 3 años,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,No conozco,1 año o menos,1 a 3 años,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,"backbone.js (NUEVO), jQuery",Masculino,Windows,"Documentación en la web, En la universidad o instituto",No conozco,No conozco,Menos de 1 año,,No conozco,Sí,No conozco,No conozco,No conozco,No conozco,,1 a 3 años
41369.099849537,17 - 23 años,Puno,Menos de 1 año,No conozco,No conozco,1 a 3 años,4 a 6 años,,1 a 3 años,Más de 6 años,1 a 3 años,Más de 6 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"backbone.js (NUEVO), jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, Cursos en línea",1 a 3 años,1 a 3 años,4 a 6 años,,No conozco,Sí,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,Más de 6 años
41369.1075115741,31 - 40 años,Arequipa,1 a 3 años,Menos de 1 año,No conozco,Menos de 1 año,Más de 6 años,,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,1 a 3 años,No conozco,No conozco,4 a 6 años,,De 1501 a 2500,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI, exjs",Masculino,Linux,"Seminarios web, Cursos en línea",Menos de 1 año,Menos de 1 año,4 a 6 años,,No conozco,Sí,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,Más de 6 años
41369.1110300926,17 - 23 años,Piura,1 a 3 años,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,No trabajo,,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,Menos de 1 año,,No conozco,No,No conozco,No conozco,No conozco,No conozco,,1 año o menos
41369.2198958333,17 - 23 años,Tacna,1 a 3 años,No conozco,No conozco,Menos de 1 año,4 a 6 años,,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,No conozco,4 a 6 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, MooTools",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",1 a 3 años,Menos de 1 año,4 a 6 años,,No conozco,No,No conozco,1 a 3 años,4 a 6 años,No conozco,,1 a 3 años
41369.3033449074,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,1 a 3 años,,No conozco,Menos de 1 año,4 a 6 años,4 a 6 años,4 a 6 años,1 año o menos,No conozco,1 año o menos,1 año o menos,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,jQuery,Masculino,Linux,Documentación en la web,No conozco,No conozco,Menos de 1 año,,1 año o menos,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,4 a 6 años
41369.3183796296,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente,"jQuery, jQuery UI, Prototype",Femenino,Windows,"Documentación en la web, Cursos en línea, Comunidades locales de desarrolladores (NUEVO)",No conozco,No conozco,Menos de 1 año,,No conozco,Sí,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,No conozco
41369.3257175926,24 - 30 años,Lima,Menos de 1 año,Menos de 1 año,Menos de 1 año,4 a 6 años,4 a 6 años,,4 a 6 años,Más de 6 años,1 a 3 años,Más de 6 años,Más de 6 años,4 a 6 años,1 a 3 años,No conozco,No conozco,Más de 6 años,,De 2501 a 3500,Graduado de instituto,Trabajo como dependiente e independiente,"backbone.js (NUEVO), jQuery, jQuery UI",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",1 a 3 años,1 a 3 años,Más de 6 años,,1 año o menos,No,1 a 3 años,Menos de 1 año,No conozco,Menos de 1 año,,Más de 6 años
41369.3822106481,17 - 23 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 año o menos,No conozco,1 año o menos,No conozco,No conozco,1 año o menos,,--Seleccione--,Graduado de instituto,No trabajo,jQuery,Masculino,Windows,Documentación en la web,No conozco,No conozco,Menos de 1 año,,No conozco,No,No conozco,No conozco,No conozco,No conozco,,No conozco
41369.3868518519,24 - 30 años,Ayacucho,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,Menos de 1 año,,No conozco,Sí,No conozco,Menos de 1 año,No conozco,No conozco,,1 a 3 años
41369.4232175926,24 - 30 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 año o menos,No conozco,1 a 3 años,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,No trabajo,,Masculino,Windows,"En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea",No conozco,No conozco,Menos de 1 año,,No conozco,Sí,No conozco,No conozco,No conozco,No conozco,,1 a 3 años
41369.4393518519,17 - 23 años,Cusco,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,jQuery,Masculino,Windows,Documentación en la web,1 a 3 años,No conozco,Menos de 1 año,,No conozco,No,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,1 a 3 años
41369.4501736111,24 - 30 años,Lambayeque,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI, Prototype",Masculino,Windows,"Documentación en la web, Cursos en línea",No conozco,No conozco,1 a 3 años,,No conozco,Sí,Menos de 1 año,No conozco,No conozco,No conozco,,1 a 3 años
41369.4661342593,17 - 23 años,Arequipa,No conozco,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,,No conozco,4 a 6 años,Más de 6 años,Más de 6 años,1 año o menos,1 año o menos,1 año o menos,1 a 3 años,1 año o menos,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype",Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo, Comunidades locales de desarrolladores (NUEVO)",Menos de 1 año,1 a 3 años,4 a 6 años,,1 año o menos,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,Más de 6 años
41369.4887268519,17 - 23 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,No trabajo,"backbone.js (NUEVO), jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",No conozco,No conozco,1 a 3 años,,No conozco,Sí,No conozco,No conozco,No conozco,Menos de 1 año,,No conozco
41369.4946180556,31 - 40 años,Lima,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,1 año o menos,Más de 6 años,4 a 6 años,1 a 3 años,No conozco,,De 3501 a 4500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, Prototype",Masculino,Windows,Documentación en la web,1 a 3 años,Menos de 1 año,Más de 6 años,,1 año o menos,Sí,4 a 6 años,1 a 3 años,Más de 6 años,Menos de 1 año,,Más de 6 años
41369.5110416667,24 - 30 años,--Seleccione--,No conozco,1 a 3 años,Menos de 1 año,Más de 6 años,Menos de 1 año,,Más de 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,1 a 3 años,Más de 6 años,1 a 3 años,No conozco,No conozco,4 a 6 años,,De 8501 a 9500,Maestría,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype, GWT",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",4 a 6 años,Menos de 1 año,Más de 6 años,,No conozco,Sí,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,,Más de 6 años
41369.5170949074,31 - 40 años,Lima,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,1 a 3 años,1 a 3 años,1 año o menos,1 a 3 años,1 año o menos,1 a 3 años,,De 3501 a 4500,Graduado de universidad,Trabajo como dependiente,"backbone.js (NUEVO), dojo, jQuery, jQuery UI, MooTools",Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,4 a 6 años,,No conozco,Sí,Menos de 1 año,No conozco,Menos de 1 año,No conozco,,4 a 6 años
41369.5179398148,24 - 30 años,--Seleccione--,1 a 3 años,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,4 a 6 años,1 año o menos,1 año o menos,1 a 3 años,No conozco,No conozco,1 año o menos,,De 2501 a 3500,En universidad o instituto,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,No conozco,No,Menos de 1 año,No conozco,Menos de 1 año,No conozco,,1 a 3 años
41369.5202777778,24 - 30 años,Lima,No conozco,Menos de 1 año,No conozco,1 a 3 años,Más de 6 años,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,1 año o menos,1 a 3 años,1 año o menos,No conozco,1 año o menos,1 a 3 años,,De 2501 a 3500,Graduado de instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Linux,"Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,4 a 6 años,,1 año o menos,Sí,1 a 3 años,1 a 3 años,No conozco,Menos de 1 año,,Más de 6 años
41369.5244212963,31 - 40 años,--Seleccione--,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,1 a 3 años,Menos de 1 año,4 a 6 años,1 a 3 años,1 año o menos,1 año o menos,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"backbone.js (NUEVO), dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas",Menos de 1 año,No conozco,4 a 6 años,,No conozco,Sí,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,4 a 6 años
41369.5248958333,24 - 30 años,Lima,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,4 a 6 años,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente,jQuery,Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",4 a 6 años,Menos de 1 año,1 a 3 años,,No conozco,No,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,1 año o menos
